201905061600: 0.86,201905061700: 0.89,201905061800: 0.66,201905061900: 0.71,201905062000: 0.69,201905062100: 0.69,201905062200: 0.8,201905062300: 0.99,201905070800: 0.78,201905070900: 0.89,201905071000: 0.94,201905071100: 0.95,201905071200: 0.92,201905071300: 0.79,201905071400: 0.71,201905071500: 0.76,
201905070900: 0.88,201905071000: 0.93,201905071100: 0.94,201905071200: 0.91,201905071300: 0.78,201905071400: 0.7,201905071500: 0.75,201905071700: 0.99,201905071800: 0.69,201905071900: 0.6,201905072000: 0.68,201905072100: 0.72,201905072200: 0.75,201905072300: 0.88,201905080800: 0.75,201905080910: 0.68,
201905071000: 0.93,201905071100: 0.94,201905071200: 0.91,201905071300: 0.78,201905071400: 0.7,201905071500: 0.75,201905071700: 0.99,201905071800: 0.69,201905071900: 0.6,201905072000: 0.68,201905072100: 0.72,201905072200: 0.75,201905072300: 0.88,201905080800: 0.75,201905080910: 0.68,201905081100: 0.89,
201905071100: 0.98,201905071200: 0.94,201905071300: 0.82,201905071400: 0.72,201905071500: 0.78,201905071700: 0.97,201905071800: 0.66,201905071900: 0.57,201905072000: 0.65,201905072100: 0.69,201905072200: 0.72,201905072300: 0.84,201905080800: 0.78,201905080910: 0.71,201905081100: 0.93,201905081200: 0.95,
201905071200: 0.89,201905071300: 0.77,201905071400: 0.68,201905071500: 0.74,201905071700: 0.97,201905071800: 0.72,201905071900: 0.62,201905072000: 0.7,201905072100: 0.74,201905072200: 0.77,201905072300: 0.9,201905080800: 0.73,201905080910: 0.66,201905081100: 0.87,201905081200: 0.98,201905081300: 0.85,
201905071300: 0.78,201905071400: 0.69,201905071500: 0.75,201905071700: 0.99,201905071800: 0.7,201905071900: 0.6,201905072000: 0.68,201905072100: 0.72,201905072200: 0.75,201905072300: 0.88,201905080800: 0.75,201905080910: 0.67,201905081100: 0.89,201905081200: 1.0,201905081300: 0.86,201905081400: 0.69,
201905071400: 0.69,201905071500: 0.75,201905071700: 0.99,201905071800: 0.7,201905071900: 0.6,201905072000: 0.68,201905072100: 0.72,201905072200: 0.75,201905072300: 0.88,201905080800: 0.75,201905080910: 0.68,201905081100: 0.89,201905081200: 1.0,201905081300: 0.86,201905081400: 0.69,201905081500: 0.65,
201905071400: 0.69,201905071500: 0.75,201905071700: 0.99,201905071800: 0.7,201905071900: 0.6,201905072000: 0.68,201905072100: 0.72,201905072200: 0.75,201905072300: 0.88,201905080800: 0.75,201905080910: 0.68,201905081100: 0.89,201905081200: 1.0,201905081300: 0.86,201905081400: 0.69,201905081500: 0.65,
201905071400: 0.69,201905071500: 0.75,201905071700: 0.99,201905071800: 0.7,201905071900: 0.6,201905072000: 0.68,201905072100: 0.72,201905072200: 0.75,201905072300: 0.88,201905080800: 0.75,201905080910: 0.68,201905081100: 0.89,201905081200: 1.0,201905081300: 0.86,201905081400: 0.69,201905081500: 0.65,
201905071400: 0.69,201905071500: 0.75,201905071700: 0.99,201905071800: 0.7,201905071900: 0.6,201905072000: 0.68,201905072100: 0.72,201905072200: 0.75,201905072300: 0.88,201905080800: 0.75,201905080910: 0.68,201905081100: 0.89,201905081200: 1.0,201905081300: 0.86,201905081400: 0.69,201905081500: 0.65,
201905071400: 0.69,201905071500: 0.75,201905071700: 0.99,201905071800: 0.7,201905071900: 0.6,201905072000: 0.68,201905072100: 0.72,201905072200: 0.75,201905072300: 0.88,201905080800: 0.75,201905080910: 0.68,201905081100: 0.89,201905081200: 1.0,201905081300: 0.86,201905081400: 0.69,201905081500: 0.65,
201905071400: 0.69,201905071500: 0.75,201905071700: 0.99,201905071800: 0.7,201905071900: 0.6,201905072000: 0.68,201905072100: 0.72,201905072200: 0.75,201905072300: 0.88,201905080800: 0.75,201905080910: 0.68,201905081100: 0.89,201905081200: 1.0,201905081300: 0.86,201905081400: 0.69,201905081500: 0.65,
201905071400: 0.69,201905071500: 0.75,201905071700: 0.99,201905071800: 0.7,201905071900: 0.6,201905072000: 0.68,201905072100: 0.72,201905072200: 0.75,201905072300: 0.88,201905080800: 0.75,201905080910: 0.68,201905081100: 0.89,201905081200: 1.0,201905081300: 0.86,201905081400: 0.69,201905081500: 0.65,
201905071400: 0.69,201905071500: 0.75,201905071700: 0.99,201905071800: 0.7,201905071900: 0.6,201905072000: 0.68,201905072100: 0.72,201905072200: 0.75,201905072300: 0.88,201905080800: 0.75,201905080910: 0.68,201905081100: 0.89,201905081200: 1.0,201905081300: 0.86,201905081400: 0.69,201905081500: 0.65,
201905071400: 0.69,201905071500: 0.75,201905071700: 0.99,201905071800: 0.7,201905071900: 0.6,201905072000: 0.68,201905072100: 0.72,201905072200: 0.75,201905072300: 0.88,201905080800: 0.75,201905080910: 0.68,201905081100: 0.89,201905081200: 1.0,201905081300: 0.86,201905081400: 0.69,201905081500: 0.65,
201905071500: 0.75,201905071700: 0.99,201905071800: 0.7,201905071900: 0.6,201905072000: 0.68,201905072100: 0.72,201905072200: 0.75,201905072300: 0.88,201905080800: 0.75,201905080910: 0.68,201905081100: 0.89,201905081200: 1.0,201905081300: 0.86,201905081400: 0.69,201905081500: 0.65,201905081600: 0.76,
201905071700: 1.0,201905071800: 0.69,201905071900: 0.59,201905072000: 0.67,201905072100: 0.71,201905072200: 0.74,201905072300: 0.87,201905080800: 0.76,201905080910: 0.68,201905081100: 0.9,201905081200: 0.98,201905081300: 0.87,201905081400: 0.69,201905081500: 0.66,201905081600: 0.77,201905081700: 0.98,
201905071800: 0.63,201905071900: 0.54,201905072000: 0.62,201905072100: 0.66,201905072200: 0.69,201905072300: 0.81,201905080800: 0.82,201905080910: 0.74,201905081100: 0.97,201905081200: 0.92,201905081300: 0.94,201905081400: 0.74,201905081500: 0.7,201905081600: 0.82,201905081700: 0.91,201905081800: 0.66,
201905071900: 0.56,201905072000: 0.64,201905072100: 0.68,201905072200: 0.71,201905072300: 0.83,201905080800: 0.8,201905080910: 0.71,201905081100: 0.94,201905081200: 0.94,201905081300: 0.91,201905081400: 0.72,201905081500: 0.68,201905081600: 0.8,201905081700: 0.94,201905081800: 0.68,201905081900: 0.65,
201905072000: 0.67,201905072100: 0.71,201905072200: 0.73,201905072300: 0.86,201905080800: 0.77,201905080910: 0.69,201905081100: 0.91,201905081200: 0.98,201905081300: 0.88,201905081400: 0.7,201905081500: 0.66,201905081600: 0.78,201905081700: 0.97,201905081800: 0.71,201905081900: 0.68,201905082000: 0.64,
201905072100: 0.71,201905072200: 0.73,201905072300: 0.86,201905080800: 0.77,201905080910: 0.69,201905081100: 0.91,201905081200: 0.98,201905081300: 0.88,201905081400: 0.7,201905081500: 0.66,201905081600: 0.78,201905081700: 0.97,201905081800: 0.71,201905081900: 0.68,201905082000: 0.64,201905082100: 0.63,
201905072200: 0.76,201905072300: 0.89,201905080800: 0.74,201905080910: 0.67,201905081100: 0.89,201905081200: 1.0,201905081300: 0.86,201905081400: 0.68,201905081500: 0.65,201905081600: 0.76,201905081700: 1.0,201905081800: 0.73,201905081900: 0.71,201905082000: 0.66,201905082100: 0.65,201905082200: 0.8,
201905072300: 0.88,201905080800: 0.75,201905080910: 0.68,201905081100: 0.9,201905081200: 0.99,201905081300: 0.87,201905081400: 0.69,201905081500: 0.65,201905081600: 0.77,201905081700: 0.99,201905081800: 0.72,201905081900: 0.7,201905082000: 0.65,201905082100: 0.64,201905082200: 0.78,201905082300: 0.97,
201905080800: 0.74,201905080910: 0.67,201905081100: 0.88,201905081200: 1.0,201905081300: 0.86,201905081400: 0.68,201905081500: 0.64,201905081600: 0.76,201905081700: 1.0,201905081800: 0.73,201905081900: 0.7,201905082000: 0.66,201905082100: 0.65,201905082200: 0.8,201905082300: 0.98,201905090800: 0.76,
201905080910: 0.68,201905081100: 0.9,201905081200: 0.99,201905081300: 0.87,201905081400: 0.69,201905081500: 0.66,201905081600: 0.77,201905081700: 0.98,201905081800: 0.72,201905081900: 0.69,201905082000: 0.64,201905082100: 0.63,201905082200: 0.78,201905082300: 0.96,201905090800: 0.77,201905090900: 0.85,
201905081100: 0.9,201905081200: 0.99,201905081300: 0.87,201905081400: 0.69,201905081500: 0.66,201905081600: 0.77,201905081700: 0.98,201905081800: 0.72,201905081900: 0.69,201905082000: 0.64,201905082100: 0.63,201905082200: 0.78,201905082300: 0.96,201905090800: 0.77,201905090900: 0.85,201905091000: 0.89,
201905081200: 0.99,201905081300: 0.86,201905081400: 0.68,201905081500: 0.64,201905081600: 0.76,201905081700: 1.0,201905081800: 0.73,201905081900: 0.71,201905082000: 0.66,201905082100: 0.65,201905082200: 0.8,201905082300: 0.98,201905090800: 0.76,201905090900: 0.83,201905091000: 0.87,201905091100: 0.88,
201905081300: 0.88,201905081400: 0.7,201905081500: 0.66,201905081600: 0.78,201905081700: 0.98,201905081800: 0.71,201905081900: 0.68,201905082000: 0.64,201905082100: 0.63,201905082200: 0.78,201905082300: 0.95,201905090800: 0.78,201905090900: 0.85,201905091000: 0.9,201905091100: 0.91,201905091200: 0.99,
201905081400: 0.68,201905081500: 0.65,201905081600: 0.76,201905081700: 1.0,201905081800: 0.73,201905081900: 0.7,201905082000: 0.66,201905082100: 0.65,201905082200: 0.8,201905082300: 0.98,201905090800: 0.76,201905090900: 0.83,201905091000: 0.88,201905091100: 0.88,201905091200: 0.99,201905091300: 0.82,
201905081500: 0.66,201905081600: 0.77,201905081700: 0.98,201905081800: 0.72,201905081900: 0.69,201905082000: 0.64,201905082100: 0.63,201905082200: 0.78,201905082300: 0.96,201905090800: 0.77,201905090900: 0.85,201905091000: 0.89,201905091100: 0.9,201905091200: 0.99,201905091300: 0.83,201905091400: 0.65,
201905081600: 0.77,201905081700: 0.98,201905081800: 0.72,201905081900: 0.69,201905082000: 0.64,201905082100: 0.63,201905082200: 0.78,201905082300: 0.96,201905090800: 0.77,201905090900: 0.85,201905091000: 0.89,201905091100: 0.9,201905091200: 0.99,201905091300: 0.83,201905091400: 0.65,201905091500: 0.61,
201905081600: 0.77,201905081700: 0.98,201905081800: 0.72,201905081900: 0.69,201905082000: 0.64,201905082100: 0.63,201905082200: 0.78,201905082300: 0.96,201905090800: 0.77,201905090900: 0.85,201905091000: 0.89,201905091100: 0.9,201905091200: 0.99,201905091300: 0.83,201905091400: 0.65,201905091500: 0.61,
201905081600: 0.77,201905081700: 0.98,201905081800: 0.72,201905081900: 0.69,201905082000: 0.64,201905082100: 0.63,201905082200: 0.78,201905082300: 0.96,201905090800: 0.77,201905090900: 0.85,201905091000: 0.89,201905091100: 0.9,201905091200: 0.99,201905091300: 0.83,201905091400: 0.65,201905091500: 0.61,
201905081600: 0.77,201905081700: 0.98,201905081800: 0.72,201905081900: 0.69,201905082000: 0.64,201905082100: 0.63,201905082200: 0.78,201905082300: 0.96,201905090800: 0.77,201905090900: 0.85,201905091000: 0.89,201905091100: 0.9,201905091200: 0.99,201905091300: 0.83,201905091400: 0.65,201905091500: 0.61,
201905081600: 0.77,201905081700: 0.98,201905081800: 0.72,201905081900: 0.69,201905082000: 0.64,201905082100: 0.63,201905082200: 0.78,201905082300: 0.96,201905090800: 0.77,201905090900: 0.85,201905091000: 0.89,201905091100: 0.9,201905091200: 0.99,201905091300: 0.83,201905091400: 0.65,201905091500: 0.61,
201905081600: 0.77,201905081700: 0.98,201905081800: 0.72,201905081900: 0.69,201905082000: 0.64,201905082100: 0.63,201905082200: 0.78,201905082300: 0.96,201905090800: 0.77,201905090900: 0.85,201905091000: 0.89,201905091100: 0.9,201905091200: 0.99,201905091300: 0.83,201905091400: 0.65,201905091500: 0.61,
201905081600: 0.77,201905081700: 0.98,201905081800: 0.72,201905081900: 0.69,201905082000: 0.64,201905082100: 0.63,201905082200: 0.78,201905082300: 0.96,201905090800: 0.77,201905090900: 0.85,201905091000: 0.89,201905091100: 0.9,201905091200: 0.99,201905091300: 0.83,201905091400: 0.65,201905091500: 0.61,
201905081600: 0.77,201905081700: 0.98,201905081800: 0.72,201905081900: 0.69,201905082000: 0.64,201905082100: 0.63,201905082200: 0.78,201905082300: 0.96,201905090800: 0.77,201905090900: 0.85,201905091000: 0.89,201905091100: 0.9,201905091200: 0.99,201905091300: 0.83,201905091400: 0.65,201905091500: 0.61,
201905081600: 0.77,201905081700: 0.98,201905081800: 0.72,201905081900: 0.69,201905082000: 0.64,201905082100: 0.63,201905082200: 0.78,201905082300: 0.96,201905090800: 0.77,201905090900: 0.85,201905091000: 0.89,201905091100: 0.9,201905091200: 0.99,201905091300: 0.83,201905091400: 0.65,201905091500: 0.61,
201905081700: 0.97,201905081800: 0.7,201905081900: 0.68,201905082000: 0.63,201905082100: 0.62,201905082200: 0.77,201905082300: 0.94,201905090800: 0.79,201905090900: 0.86,201905091000: 0.91,201905091100: 0.92,201905091200: 0.98,201905091300: 0.84,201905091400: 0.66,201905091500: 0.62,201905091600: 0.7,
201905081800: 0.74,201905081900: 0.71,201905082000: 0.66,201905082100: 0.65,201905082200: 0.8,201905082300: 0.99,201905090800: 0.75,201905090900: 0.82,201905091000: 0.87,201905091100: 0.88,201905091200: 0.98,201905091300: 0.81,201905091400: 0.63,201905091500: 0.6,201905091600: 0.67,201905091700: 0.91,
201905081900: 0.68,201905082000: 0.64,201905082100: 0.62,201905082200: 0.77,201905082300: 0.95,201905090800: 0.78,201905090900: 0.86,201905091000: 0.91,201905091100: 0.91,201905091200: 0.98,201905091300: 0.84,201905091400: 0.66,201905091500: 0.62,201905091600: 0.7,201905091700: 0.94,201905091800: 0.75,
201905082000: 0.67,201905082100: 0.66,201905082200: 0.81,201905082300: 1.0,201905090800: 0.74,201905090900: 0.81,201905091000: 0.86,201905091100: 0.86,201905091200: 0.97,201905091300: 0.8,201905091400: 0.63,201905091500: 0.59,201905091600: 0.67,201905091700: 0.89,201905091800: 0.79,201905091900: 0.75,
201905082100: 0.66,201905082200: 0.81,201905082300: 1.0,201905090800: 0.74,201905090900: 0.81,201905091000: 0.86,201905091100: 0.86,201905091200: 0.97,201905091300: 0.8,201905091400: 0.63,201905091500: 0.59,201905091600: 0.67,201905091700: 0.89,201905091800: 0.79,201905091900: 0.75,201905092000: 0.68,
201905082200: 0.8,201905082300: 0.99,201905090800: 0.75,201905090900: 0.83,201905091000: 0.87,201905091100: 0.88,201905091200: 0.98,201905091300: 0.81,201905091400: 0.63,201905091500: 0.6,201905091600: 0.67,201905091700: 0.91,201905091800: 0.78,201905091900: 0.74,201905092000: 0.67,201905092100: 0.62,
201905082300: 0.95,201905090800: 0.78,201905090900: 0.86,201905091000: 0.9,201905091100: 0.91,201905091200: 0.99,201905091300: 0.84,201905091400: 0.65,201905091500: 0.62,201905091600: 0.69,201905091700: 0.94,201905091800: 0.75,201905091900: 0.71,201905092000: 0.64,201905092100: 0.6,201905092200: 0.72,
201905090800: 0.78,201905090900: 0.86,201905091000: 0.9,201905091100: 0.91,201905091200: 0.99,201905091300: 0.84,201905091400: 0.65,201905091500: 0.62,201905091600: 0.69,201905091700: 0.94,201905091800: 0.75,201905091900: 0.71,201905092000: 0.64,201905092100: 0.59,201905092200: 0.72,201905092300: 0.91,
201905090900: 0.86,201905091000: 0.9,201905091100: 0.91,201905091200: 0.99,201905091300: 0.84,201905091400: 0.65,201905091500: 0.62,201905091600: 0.69,201905091700: 0.94,201905091800: 0.75,201905091900: 0.72,201905092000: 0.64,201905092100: 0.6,201905092200: 0.72,201905092300: 0.91,201905100800: 0.79,
201905091000: 0.9,201905091100: 0.91,201905091200: 0.99,201905091300: 0.84,201905091400: 0.65,201905091500: 0.62,201905091600: 0.69,201905091700: 0.94,201905091800: 0.75,201905091900: 0.72,201905092000: 0.64,201905092100: 0.6,201905092200: 0.72,201905092300: 0.91,201905100800: 0.79,201905100900: 0.85,
201905091100: 0.88,201905091200: 0.98,201905091300: 0.81,201905091400: 0.63,201905091500: 0.6,201905091600: 0.67,201905091700: 0.91,201905091800: 0.78,201905091900: 0.74,201905092000: 0.67,201905092100: 0.62,201905092200: 0.74,201905092300: 0.95,201905100800: 0.76,201905100900: 0.82,201905101000: 0.82,
201905091200: 0.98,201905091300: 0.84,201905091400: 0.66,201905091500: 0.62,201905091600: 0.7,201905091700: 0.95,201905091800: 0.74,201905091900: 0.71,201905092000: 0.64,201905092100: 0.59,201905092200: 0.71,201905092300: 0.91,201905100800: 0.8,201905100900: 0.86,201905101000: 0.86,201905101100: 0.8,
201905091300: 0.83,201905091400: 0.64,201905091500: 0.61,201905091600: 0.69,201905091700: 0.93,201905091800: 0.76,201905091900: 0.72,201905092000: 0.65,201905092100: 0.6,201905092200: 0.72,201905092300: 0.92,201905100800: 0.78,201905100900: 0.84,201905101000: 0.84,201905101100: 0.79,201905101200: 0.87,
201905091400: 0.65,201905091500: 0.61,201905091600: 0.69,201905091700: 0.93,201905091800: 0.76,201905091900: 0.73,201905092000: 0.65,201905092100: 0.6,201905092200: 0.73,201905092300: 0.93,201905100800: 0.78,201905100900: 0.84,201905101000: 0.84,201905101100: 0.79,201905101200: 0.87,201905101300: 0.77,
201905091500: 0.61,201905091600: 0.69,201905091700: 0.93,201905091800: 0.76,201905091900: 0.73,201905092000: 0.65,201905092100: 0.6,201905092200: 0.73,201905092300: 0.93,201905100800: 0.78,201905100900: 0.84,201905101000: 0.84,201905101100: 0.79,201905101200: 0.87,201905101300: 0.77,201905101400: 0.64,
201905091600: 0.68,201905091700: 0.92,201905091800: 0.77,201905091900: 0.73,201905092000: 0.66,201905092100: 0.61,201905092200: 0.73,201905092300: 0.94,201905100800: 0.77,201905100900: 0.83,201905101000: 0.83,201905101100: 0.78,201905101200: 0.86,201905101300: 0.76,201905101400: 0.63,201905101500: 0.6,
201905091600: 0.68,201905091700: 0.92,201905091800: 0.77,201905091900: 0.73,201905092000: 0.66,201905092100: 0.61,201905092200: 0.73,201905092300: 0.94,201905100800: 0.77,201905100900: 0.83,201905101000: 0.83,201905101100: 0.78,201905101200: 0.86,201905101300: 0.76,201905101400: 0.63,201905101500: 0.6,
201905091600: 0.68,201905091700: 0.92,201905091800: 0.77,201905091900: 0.73,201905092000: 0.66,201905092100: 0.61,201905092200: 0.73,201905092300: 0.94,201905100800: 0.77,201905100900: 0.83,201905101000: 0.83,201905101100: 0.78,201905101200: 0.86,201905101300: 0.76,201905101400: 0.63,201905101500: 0.6,
201905091600: 0.68,201905091700: 0.92,201905091800: 0.77,201905091900: 0.73,201905092000: 0.66,201905092100: 0.61,201905092200: 0.73,201905092300: 0.94,201905100800: 0.77,201905100900: 0.83,201905101000: 0.83,201905101100: 0.78,201905101200: 0.86,201905101300: 0.76,201905101400: 0.63,201905101500: 0.6,
201905091600: 0.68,201905091700: 0.92,201905091800: 0.77,201905091900: 0.73,201905092000: 0.66,201905092100: 0.61,201905092200: 0.73,201905092300: 0.94,201905100800: 0.77,201905100900: 0.83,201905101000: 0.83,201905101100: 0.78,201905101200: 0.86,201905101300: 0.76,201905101400: 0.63,201905101500: 0.6,
201905091600: 0.68,201905091700: 0.92,201905091800: 0.77,201905091900: 0.73,201905092000: 0.66,201905092100: 0.61,201905092200: 0.73,201905092300: 0.94,201905100800: 0.77,201905100900: 0.83,201905101000: 0.83,201905101100: 0.78,201905101200: 0.86,201905101300: 0.76,201905101400: 0.63,201905101500: 0.6,
201905091600: 0.68,201905091700: 0.92,201905091800: 0.77,201905091900: 0.73,201905092000: 0.66,201905092100: 0.61,201905092200: 0.73,201905092300: 0.94,201905100800: 0.77,201905100900: 0.83,201905101000: 0.83,201905101100: 0.78,201905101200: 0.86,201905101300: 0.76,201905101400: 0.63,201905101500: 0.6,
201905091600: 0.68,201905091700: 0.92,201905091800: 0.77,201905091900: 0.73,201905092000: 0.66,201905092100: 0.61,201905092200: 0.73,201905092300: 0.94,201905100800: 0.77,201905100900: 0.83,201905101000: 0.83,201905101100: 0.78,201905101200: 0.86,201905101300: 0.76,201905101400: 0.63,201905101500: 0.6,
201905091600: 0.68,201905091700: 0.92,201905091800: 0.77,201905091900: 0.73,201905092000: 0.66,201905092100: 0.61,201905092200: 0.73,201905092300: 0.94,201905100800: 0.77,201905100900: 0.83,201905101000: 0.83,201905101100: 0.78,201905101200: 0.86,201905101300: 0.76,201905101400: 0.63,201905101500: 0.6,
201905091700: 0.93,201905091800: 0.76,201905091900: 0.72,201905092000: 0.65,201905092100: 0.6,201905092200: 0.72,201905092300: 0.92,201905100800: 0.78,201905100900: 0.84,201905101000: 0.84,201905101100: 0.79,201905101200: 0.87,201905101300: 0.77,201905101400: 0.64,201905101500: 0.6,201905101600: 0.69,
201905091800: 0.74,201905091900: 0.7,201905092000: 0.63,201905092100: 0.59,201905092200: 0.71,201905092300: 0.9,201905100800: 0.8,201905100900: 0.86,201905101000: 0.86,201905101100: 0.81,201905101200: 0.89,201905101300: 0.79,201905101400: 0.65,201905101500: 0.61,201905101600: 0.7,201905101700: 0.95,
201905091900: 0.76,201905092000: 0.68,201905092100: 0.63,201905092200: 0.76,201905092300: 0.97,201905100800: 0.75,201905100900: 0.8,201905101000: 0.8,201905101100: 0.75,201905101200: 0.83,201905101300: 0.74,201905101400: 0.61,201905101500: 0.58,201905101600: 0.66,201905101700: 0.89,201905101800: 0.78,
201905092000: 0.68,201905092100: 0.63,201905092200: 0.76,201905092300: 0.97,201905100800: 0.75,201905100900: 0.8,201905101000: 0.8,201905101100: 0.75,201905101200: 0.83,201905101300: 0.74,201905101400: 0.61,201905101500: 0.58,201905101600: 0.66,201905101700: 0.89,201905101800: 0.78,201905101900: 0.83,
201905092100: 0.59,201905092200: 0.71,201905092300: 0.91,201905100800: 0.8,201905100900: 0.86,201905101000: 0.86,201905101100: 0.8,201905101200: 0.89,201905101300: 0.79,201905101400: 0.65,201905101500: 0.61,201905101600: 0.7,201905101700: 0.95,201905101800: 0.73,201905101900: 0.78,201905102000: 0.72,
201905092200: 0.73,201905092300: 0.93,201905100800: 0.77,201905100900: 0.83,201905101000: 0.83,201905101100: 0.78,201905101200: 0.86,201905101300: 0.77,201905101400: 0.63,201905101500: 0.6,201905101600: 0.69,201905101700: 0.93,201905101800: 0.75,201905101900: 0.8,201905102000: 0.74,201905102100: 0.69,
201905092300: 0.88,201905100800: 0.82,201905100900: 0.89,201905101000: 0.88,201905101100: 0.83,201905101200: 0.91,201905101300: 0.81,201905101400: 0.67,201905101500: 0.63,201905101600: 0.72,201905101700: 0.98,201905101800: 0.71,201905101900: 0.75,201905102000: 0.7,201905102100: 0.65,201905102200: 0.73,
201905100800: 0.8,201905100900: 0.86,201905101000: 0.86,201905101100: 0.8,201905101200: 0.89,201905101300: 0.79,201905101400: 0.65,201905101500: 0.61,201905101600: 0.7,201905101700: 0.95,201905101800: 0.73,201905101900: 0.78,201905102000: 0.72,201905102100: 0.67,201905102200: 0.75,201905102300: 0.95,
201905100900: 0.86,201905101000: 0.86,201905101100: 0.8,201905101200: 0.89,201905101300: 0.79,201905101400: 0.65,201905101500: 0.61,201905101600: 0.7,201905101700: 0.95,201905101800: 0.73,201905101900: 0.78,201905102000: 0.72,201905102100: 0.67,201905102200: 0.75,201905102300: 0.95,201905110800: 0.74,
201905101000: 0.81,201905101100: 0.76,201905101200: 0.84,201905101300: 0.75,201905101400: 0.62,201905101500: 0.59,201905101600: 0.67,201905101700: 0.9,201905101800: 0.77,201905101900: 0.82,201905102000: 0.76,201905102100: 0.71,201905102200: 0.79,201905102300: 1.0,201905110800: 0.7,201905110900: 0.84,
201905101100: 0.78,201905101200: 0.86,201905101300: 0.76,201905101400: 0.63,201905101500: 0.6,201905101600: 0.68,201905101700: 0.92,201905101800: 0.76,201905101900: 0.8,201905102000: 0.74,201905102100: 0.7,201905102200: 0.78,201905102300: 0.98,201905110800: 0.72,201905110900: 0.86,201905111000: 0.93,
201905101200: 0.89,201905101300: 0.79,201905101400: 0.65,201905101500: 0.61,201905101600: 0.7,201905101700: 0.95,201905101800: 0.73,201905101900: 0.77,201905102000: 0.72,201905102100: 0.67,201905102200: 0.75,201905102300: 0.95,201905110800: 0.74,201905110900: 0.89,201905111000: 0.96,201905111100: 1.0,
